obs_id,train_id,pred
id_000001,train,4
id_000002,train,3
id_000003,valid,5
id_000004,test,9
id_000005,train,2
id_000006,valid,8
id_000007,train,9
id_000008,test,6
id_000009,train,6
id_000010,train,0
id_000011,train,4
id_000012,train,1
id_000013,test,6
id_000014,valid,3
id_000015,valid,7
id_000016,test,4
id_000017,train,7
id_000018,train,9
id_000019,test,3
id_000020,valid,7
id_000021,valid,9
id_000022,train,6
id_000023,valid,0
id_000024,train,1
id_000025,test,2
id_000026,valid,3
id_000027,train,6
id_000028,train,3
id_000029,valid,8
id_000030,valid,3
id_000031,test,4
id_000032,test,5
id_000033,train,3
id_000034,train,1
id_000035,train,8
id_000036,train,6
id_000037,train,7
id_000038,train,1
id_000039,train,7
id_000040,train,4
id_000041,train,8
id_000042,test,6
id_000043,train,7
id_000044,train,5
id_000045,train,5
id_000046,test,7
id_000047,train,0
id_000048,test,3
id_000049,valid,7
id_000050,train,6
id_000051,train,4
id_000052,train,8
id_000053,train,4
id_000054,valid,2
id_000055,test,0
id_000056,train,0
id_000057,train,3
id_000058,valid,5
id_000059,train,6
id_000060,valid,6
id_000061,valid,9
id_000062,valid,4
id_000063,valid,4
id_000064,valid,3
id_000065,test,6
id_000066,train,2
id_000067,valid,4
id_000068,valid,7
id_000069,test,0
id_000070,train,8
id_000071,test,3
id_000072,train,8
id_000073,valid,3
id_000074,test,3
id_000075,train,4
id_000076,valid,8
id_000077,valid,8
id_000078,train,6
id_000079,test,7
id_000080,test,9
id_000081,test,4
id_000082,valid,7
id_000083,valid,3
id_000084,test,3
id_000085,train,7
id_000086,test,2
id_000087,train,7
id_000088,test,1
id_000089,valid,4
id_000090,valid,1
id_000091,train,2
id_000092,train,3
id_000093,train,6
id_000094,train,8
id_000095,valid,7
id_000096,test,7
id_000097,train,4
id_000098,valid,4
id_000099,train,8
id_000100,train,4
id_000101,train,6
id_000102,train,3
id_000103,valid,2
id_000104,train,9
id_000105,valid,6
id_000106,valid,4
id_000107,valid,1
id_000108,train,4
id_000109,train,9
id_000110,train,7
id_000111,train,9
id_000112,train,7
id_000113,valid,3
id_000114,valid,4
id_000115,train,1
id_000116,train,0
id_000117,valid,7
id_000118,valid,1
id_000119,test,4
id_000120,valid,6
id_000121,train,9
id_000122,test,6
id_000123,train,4
id_000124,test,1
id_000125,test,7
id_000126,test,4
id_000127,train,5
id_000128,train,3
id_000129,train,2
id_000130,valid,5
id_000131,valid,5
id_000132,train,0
id_000133,test,0
id_000134,valid,6
id_000135,valid,9
id_000136,train,5
id_000137,valid,5
id_000138,train,5
id_000139,train,9
id_000140,train,5
id_000141,test,2
id_000142,test,6
id_000143,valid,6
id_000144,valid,2
id_000145,valid,7
id_000146,valid,4
id_000147,train,1
id_000148,test,7
id_000149,train,1
id_000150,train,8
id_000151,train,6
id_000152,train,5
id_000153,train,3
id_000154,train,4
id_000155,train,4
id_000156,train,1
id_000157,test,5
id_000158,train,0
id_000159,test,2
id_000160,test,2
id_000161,train,6
id_000162,train,8
id_000163,train,4
id_000164,test,7
id_000165,valid,6
id_000166,valid,4
id_000167,train,6
id_000168,train,3
id_000169,test,7
id_000170,train,3
id_000171,train,6
id_000172,test,8
id_000173,train,8
id_000174,test,3
id_000175,train,3
id_000176,train,8
id_000177,train,2
id_000178,train,7
id_000179,test,6
id_000180,valid,9
id_000181,train,2
id_000182,train,1
id_000183,valid,8
id_000184,train,5
id_000185,train,8
id_000186,train,1
id_000187,valid,7
id_000188,test,7
id_000189,test,9
id_000190,test,5
id_000191,valid,7
id_000192,train,3
id_000193,train,1
id_000194,train,9
id_000195,test,2
id_000196,train,5
id_000197,test,1
id_000198,train,8
id_000199,valid,3
id_000200,test,7
id_000201,train,2
id_000202,train,2
id_000203,test,5
id_000204,test,2
id_000205,train,1
id_000206,valid,5
id_000207,valid,5
id_000208,valid,1
id_000209,train,2
id_000210,train,7
id_000211,train,9
id_000212,train,0
id_000213,test,7
id_000214,test,9
id_000215,train,8
id_000216,valid,3
id_000217,valid,6
id_000218,train,9
id_000219,train,9
id_000220,train,3
id_000221,test,2
id_000222,train,1
id_000223,train,3
id_000224,test,5
id_000225,valid,7
id_000226,train,5
id_000227,test,2
id_000228,train,0
id_000229,valid,4
id_000230,train,6
id_000231,valid,3
id_000232,valid,1
id_000233,test,3
id_000234,train,6
id_000235,valid,3
id_000236,test,6
id_000237,train,6
id_000238,test,5
id_000239,test,3
id_000240,valid,3
id_000241,train,3
id_000242,train,5
id_000243,train,9
id_000244,test,1
id_000245,train,4
id_000246,train,2
id_000247,test,4
id_000248,test,1
id_000249,train,4
id_000250,train,9
id_000251,test,7
id_000252,train,9
id_000253,train,3
id_000254,valid,4
id_000255,valid,4
id_000256,train,1
id_000257,train,4
id_000258,test,3
id_000259,train,3
id_000260,valid,9
id_000261,valid,5
id_000262,train,3
id_000263,train,6
id_000264,train,7
id_000265,valid,6
id_000266,train,1
id_000267,valid,0
id_000268,test,7
id_000269,valid,6
id_000270,train,1
id_000271,valid,0
id_000272,valid,1
id_000273,train,3
id_000274,train,1
id_000275,test,2
id_000276,train,1
id_000277,valid,4
id_000278,train,1
id_000279,test,2
id_000280,train,7
id_000281,train,6
id_000282,test,9
id_000283,valid,8
id_000284,train,6
id_000285,test,2
id_000286,train,1
id_000287,train,3
id_000288,train,1
id_000289,train,1
id_000290,test,2
id_000291,train,2
id_000292,train,1
id_000293,valid,9
id_000294,test,3
id_000295,train,5
id_000296,test,4
id_000297,train,3
id_000298,test,1
id_000299,test,3
id_000300,train,9
id_000301,train,6
id_000302,test,6
id_000303,train,4
id_000304,train,4
id_000305,test,3
id_000306,valid,9
id_000307,valid,1
id_000308,valid,8
id_000309,valid,0
id_000310,test,3
id_000311,train,1
id_000312,test,1
id_000313,train,8
id_000314,train,7
id_000315,train,2
id_000316,valid,2
id_000317,test,0
id_000318,test,3
id_000319,train,9
id_000320,valid,3
id_000321,valid,6
id_000322,train,3
id_000323,test,4
id_000324,test,9
id_000325,valid,8
id_000326,valid,9
id_000327,train,8
id_000328,train,7
id_000329,test,2
id_000330,test,7
id_000331,train,9
id_000332,test,2
id_000333,train,3
id_000334,valid,8
id_000335,valid,0
id_000336,train,3
id_000337,train,4
id_000338,train,1
id_000339,train,5
id_000340,valid,9
id_000341,train,9
id_000342,test,1
id_000343,test,5
id_000344,train,3
id_000345,valid,3
id_000346,train,2
id_000347,train,3
id_000348,valid,1
id_000349,valid,3
id_000350,train,7
id_000351,train,4
id_000352,test,0
id_000353,valid,7
id_000354,valid,4
id_000355,test,9
id_000356,train,2
id_000357,train,8
id_000358,test,6
id_000359,valid,8
id_000360,train,4
id_000361,train,1
id_000362,train,3
id_000363,train,8
id_000364,valid,4
id_000365,valid,5
id_000366,train,8
id_000367,valid,6
id_000368,train,6
id_000369,train,6
id_000370,valid,6
id_000371,test,3
id_000372,test,5
id_000373,train,9
id_000374,valid,2
id_000375,train,2
id_000376,train,4
id_000377,train,6
id_000378,valid,8
id_000379,train,1
id_000380,train,4
id_000381,train,4
id_000382,test,5
id_000383,train,6
id_000384,test,9
id_000385,valid,4
id_000386,train,4
id_000387,valid,7
id_000388,test,8
id_000389,train,1
id_000390,train,9
id_000391,test,1
id_000392,train,1
id_000393,test,9
id_000394,train,5
id_000395,valid,1
id_000396,test,3
id_000397,valid,6
id_000398,train,3
id_000399,valid,3
id_000400,valid,1
id_000401,train,0
id_000402,train,1
id_000403,valid,9
id_000404,test,8
id_000405,train,9
id_000406,train,7
id_000407,valid,3
id_000408,train,7
id_000409,test,6
id_000410,train,9
id_000411,test,9
id_000412,test,3
id_000413,valid,7
id_000414,train,7
id_000415,train,7
id_000416,valid,4
id_000417,train,4
id_000418,test,3
id_000419,train,6
id_000420,valid,8
id_000421,test,4
id_000422,valid,7
id_000423,valid,2
id_000424,train,1
id_000425,train,3
id_000426,test,4
id_000427,test,0
id_000428,train,9
id_000429,train,8
id_000430,test,8
id_000431,train,9
id_000432,train,0
id_000433,train,3
id_000434,train,5
id_000435,test,1
id_000436,train,7
id_000437,train,7
id_000438,test,0
id_000439,train,4
id_000440,train,9
id_000441,train,0
id_000442,train,2
id_000443,valid,4
id_000444,train,2
id_000445,train,2
id_000446,train,4
id_000447,test,3
id_000448,valid,9
id_000449,train,3
id_000450,valid,0
id_000451,train,9
id_000452,train,2
id_000453,test,6
id_000454,test,1
id_000455,train,0
id_000456,train,6
id_000457,test,5
id_000458,valid,9
id_000459,train,5
id_000460,train,0
id_000461,train,1
id_000462,valid,4
id_000463,valid,0
id_000464,train,4
id_000465,train,2
id_000466,train,5
id_000467,valid,7
id_000468,test,1
id_000469,train,9
id_000470,valid,6
id_000471,valid,4
id_000472,valid,9
id_000473,train,7
id_000474,train,3
id_000475,train,1
id_000476,valid,2
id_000477,test,8
id_000478,valid,4
id_000479,train,4
id_000480,test,6
id_000481,train,7
id_000482,test,1
id_000483,train,8
id_000484,test,9
id_000485,train,5
id_000486,train,4
id_000487,train,1
id_000488,test,0
id_000489,valid,8
id_000490,valid,1
id_000491,train,0
id_000492,valid,9
id_000493,valid,2
id_000494,train,1
id_000495,train,3
id_000496,valid,4
id_000497,valid,4
id_000498,train,5
id_000499,test,8
id_000500,train,6
id_000501,test,5
id_000502,valid,2
id_000503,train,6
id_000504,train,6
id_000505,valid,4
id_000506,train,9
id_000507,valid,4
id_000508,train,8
id_000509,train,7
id_000510,valid,5
id_000511,train,8
id_000512,test,4
id_000513,train,0
id_000514,valid,7
id_000515,train,7
id_000516,test,1
id_000517,test,6
id_000518,valid,5
id_000519,valid,4
id_000520,valid,4
id_000521,train,8
id_000522,valid,7
id_000523,train,3
id_000524,test,1
id_000525,valid,3
id_000526,train,9
id_000527,train,7
id_000528,train,7
id_000529,valid,9
id_000530,train,9
id_000531,train,6
id_000532,train,0
id_000533,train,1
id_000534,train,4
id_000535,train,1
id_000536,valid,6
id_000537,test,3
id_000538,train,3
id_000539,valid,1
id_000540,train,4
id_000541,valid,3
id_000542,train,9
id_000543,train,2
id_000544,train,3
id_000545,train,1
id_000546,test,1
id_000547,train,9
id_000548,train,3
id_000549,test,5
id_000550,test,7
id_000551,train,8
id_000552,train,5
id_000553,valid,6
id_000554,train,8
id_000555,valid,7
