obs_id,train_id,pred
id_000362,valid,4
id_000506,train,6
id_000778,valid,9
id_001233,train,10
id_000274,train,3
id_001218,train,15
id_001280,test,2
id_000895,train,11
id_000851,valid,2
id_000084,train,10
id_000279,train,3
id_000239,test,2
id_000927,valid,11
id_000518,train,6
id_001037,test,7
id_000670,train,8
id_000965,train,12
id_001333,valid,4
id_000511,train,6
id_001043,train,12
id_001253,valid,10
id_000285,valid,2
id_000872,test,10
id_000168,train,13
id_000358,train,11
id_000516,train,5
id_000018,train,2
id_000510,train,6
id_001159,train,12
id_000454,valid,5
id_000642,train,5
id_000797,test,9
id_000656,train,13
id_000248,train,8
id_001098,valid,7
id_000886,train,16
id_001052,train,12
id_000143,test,1
id_000957,test,2
id_000544,test,6
id_001084,valid,1
id_000854,valid,15
id_001032,test,14
id_000729,train,9
id_000698,valid,6
id_001039,test,9
id_000031,train,14
id_000627,test,15
id_000961,train,11
id_000909,train,9
id_000626,test,2
id_001128,train,13
id_000574,train,7
id_000320,test,2
id_000093,train,9
id_000130,valid,9
id_000413,train,15
id_000676,train,8
id_000862,test,10
id_000530,valid,6
id_001187,test,12
id_000382,test,6
id_000596,train,11
id_000432,train,11
id_000844,valid,10
id_000335,train,10
id_000620,valid,0
id_000991,train,12
id_000109,train,2
id_001131,train,13
id_000438,train,8
id_001083,valid,13
id_000447,valid,14
id_000430,train,13
id_000613,valid,15
id_001147,train,14
id_001110,test,12
id_000501,train,0
id_000997,train,13
id_001231,train,1
id_000557,test,10
id_000912,train,0
id_000512,train,13
id_000416,train,15
id_000967,train,7
id_000259,train,3
id_000906,train,11
id_000155,test,8
id_000313,test,3
id_000183,train,13
id_000305,test,3
id_000075,test,0
id_000815,train,15
id_001111,test,3
id_000987,train,11
id_001009,valid,12
id_000576,train,7
id_001347,test,5
id_001024,test,0
id_000763,valid,12
id_000825,train,10
id_000445,valid,3
id_000340,train,16
id_001248,valid,10
id_000796,test,9
id_000268,train,4
id_000163,train,1
id_000600,train,7
id_001157,train,11
id_000750,train,9
id_001221,train,15
id_000915,train,12
id_000446,valid,3
id_000539,valid,12
id_000185,train,2
id_000017,train,9
id_000891,train,11
id_000129,valid,7
id_000555,test,2
id_000795,test,9
id_001230,train,15
id_000615,valid,2
id_001340,valid,4
id_000215,valid,1
id_000933,valid,12
id_000561,train,4
id_000631,test,13
id_000256,train,12
id_000282,valid,11
id_000734,train,9
id_000708,test,8
id_000095,train,11
id_000044,valid,1
id_000789,test,5
id_001139,train,2
id_000733,train,11
id_000687,valid,8
id_000644,train,8
id_001204,train,15
id_001294,train,3
id_000834,train,10
id_001281,train,4
id_000291,valid,10
id_000315,test,13
id_000887,train,11
id_000550,test,13
id_000213,valid,2
id_001274,test,13
id_000128,valid,1
id_001047,train,12
id_000744,train,11
id_000674,train,6
id_000398,test,1
id_000547,test,6
id_000604,valid,0
id_000218,valid,2
id_000638,test,0
id_000091,train,9
id_000334,train,4
id_001357,test,7
id_000342,train,4
id_001074,train,2
id_000535,valid,7
id_000934,valid,0
id_001054,train,12
id_000494,train,11
id_000077,test,2
id_000401,train,3
id_000863,test,5
id_000403,train,5
id_000751,train,9
id_001000,train,13
id_001018,valid,0
id_000465,test,11
id_000452,valid,16
id_001062,train,12
id_001261,test,15
id_000877,test,15
id_000716,test,8
id_001067,train,2
id_000347,train,3
id_000226,test,13
id_001045,train,11
id_000593,train,11
id_001318,train,16
id_000223,test,2
id_001244,valid,15
id_000850,valid,10
id_001107,test,2
id_001330,valid,8
id_000833,train,10
id_000455,valid,3
id_000118,train,11
id_001289,train,9
id_000331,train,13
id_000689,valid,8
id_001243,valid,15
id_000978,train,11
id_000370,valid,4
id_001311,train,16
id_000311,test,3
id_000254,train,3
id_000599,train,12
id_000312,test,3
id_000210,valid,2
id_001158,train,11
id_000650,train,8
id_000149,test,0
id_000296,valid,0
id_000827,train,1
id_001106,test,2
id_000116,train,6
id_001183,test,7
id_001088,valid,6
id_000939,valid,7
id_000353,train,1
id_001210,train,10
id_001090,valid,13
id_001143,train,2
id_000388,test,11
id_000300,valid,3
id_000189,train,1
id_000367,valid,3
id_000581,train,9
id_001050,train,13
id_000580,train,14
id_000293,valid,3
id_000053,valid,2
id_000474,test,8
id_000966,train,14
id_000393,test,4
id_001153,train,2
id_000423,train,5
id_000712,test,8
id_000440,train,1
id_000776,valid,11
id_000775,valid,9
id_000624,test,7
id_000483,train,6
id_000508,train,2
id_000344,train,4
id_000648,train,8
id_001188,test,9
id_000160,test,2
id_000464,test,8
id_000236,test,2
id_000478,test,6
id_000148,test,10
id_001278,test,2
id_001048,train,13
id_000846,valid,1
id_001035,test,14
id_000522,valid,6
id_000669,train,8
id_000537,valid,2
id_000121,valid,2
id_001356,test,4
id_001215,train,10
id_000411,train,11
id_001030,test,2
id_000577,train,6
id_000349,train,4
id_000306,test,3
id_000864,test,9
id_000770,valid,9
id_000181,train,10
id_000071,test,11
id_001260,valid,13
id_000678,train,8
id_000186,train,13
id_000068,test,12
id_000119,train,6
id_001277,test,10
id_001246,valid,1
id_000325,train,3
id_000209,valid,13
id_001350,test,16
id_000197,train,6
id_000517,train,6
id_001220,train,15
id_001314,train,3
id_000569,train,7
id_000949,test,11
id_000402,train,6
id_000052,valid,2
id_000150,test,13
id_000346,train,5
id_000167,train,2
id_000142,test,10
id_000238,test,13
id_000243,train,3
id_000141,test,2
id_001049,train,0
id_001099,valid,2
id_000541,test,6
id_000726,train,9
id_000106,train,1
id_000127,valid,14
id_000054,valid,9
id_000986,train,12
id_000715,test,13
id_000101,train,10
id_001108,test,0
id_000488,train,12
id_000397,test,11
id_001046,train,2
id_001091,valid,2
id_000857,valid,13
id_000073,test,2
id_000421,train,14
id_001129,train,7
id_000203,valid,2
id_000882,train,1
id_000754,train,11
id_000280,train,2
id_001263,test,13
id_000087,train,13
id_001162,valid,3
id_001010,valid,6
id_000651,train,8
id_000692,valid,13
id_001086,valid,13
id_000422,train,15
id_001033,test,11
id_001325,valid,4
id_001266,test,11
id_000840,train,10
id_000808,train,10
id_000277,train,16
id_000786,test,15
id_001016,valid,13
id_000303,test,3
id_001102,test,12
id_000835,train,15
id_000080,test,14
id_000373,valid,4
id_001331,valid,4
id_000161,train,10
id_001298,train,16
id_001293,train,16
id_001042,train,12
id_000180,train,2
id_000552,test,6
id_000391,test,4
id_001224,train,15
id_001104,test,9
id_000476,test,6
id_000175,train,2
id_000374,valid,8
id_001219,train,15
id_000492,train,12
id_000065,test,14
id_000791,test,9
id_001038,test,11
id_001109,test,2
id_001339,valid,10
id_000852,valid,10
id_000083,train,9
id_000889,train,5
id_000473,test,5
id_000110,train,10
id_000333,train,4
id_000836,train,10
id_001176,valid,11
id_000585,train,2
id_001170,valid,11
id_001094,valid,14
id_001316,train,10
id_000694,valid,8
id_000460,valid,3
id_000433,train,15
id_000556,test,6
id_000918,train,11
id_000228,test,13
id_000219,valid,13
id_000414,train,8
id_000329,train,9
id_001352,test,1
id_001013,valid,11
id_000484,train,0
id_001007,valid,12
id_000553,test,2
id_001171,valid,13
id_001322,valid,16
id_000227,test,13
id_000235,test,2
id_000777,valid,9
id_000810,train,10
id_000111,train,10
id_000936,valid,11
id_001323,valid,3
id_000140,valid,2
id_000896,train,11
id_000491,train,6
id_001075,train,13
id_000337,train,4
id_000637,test,11
id_000301,test,3
id_000339,train,1
id_000970,train,14
id_000633,test,1
id_000178,train,13
id_001249,valid,2
id_000860,valid,10
id_000903,train,11
id_001040,test,2
id_000354,train,3
id_000745,train,14
id_000011,train,0
id_001353,test,13
id_000945,test,11
id_001258,valid,10
id_000709,test,1
id_001190,test,2
id_000668,train,8
id_000450,valid,3
id_000467,test,16
id_001355,test,4
id_000655,train,6
id_001124,train,14
id_000409,train,16
id_000981,train,12
id_000622,test,12
id_000135,valid,6
id_000323,train,4
id_000380,valid,4
id_001026,test,11
id_000871,test,10
id_000782,test,15
id_000819,train,10
id_001236,train,10
id_001142,train,11
id_000352,train,11
id_000499,train,6
id_000098,train,9
id_000742,train,14
id_000684,valid,8
id_000049,valid,12
id_001259,valid,10
id_000848,valid,10
id_000039,train,9
id_000271,train,3
id_001021,test,12
id_000560,test,6
id_001070,train,15
id_001141,train,2
id_000336,train,10
id_000861,test,15
id_000113,train,13
id_000064,test,12
id_000878,test,2
id_001191,test,2
id_001344,test,3
id_001273,test,5
id_000050,valid,11
id_001022,test,13
id_000523,valid,6
id_000892,train,0
id_000545,test,10
id_000059,valid,15
id_000146,test,2
id_000428,train,5
id_000002,train,0
id_000396,test,4
id_000234,test,2
id_001034,test,7
id_000640,test,1
id_000900,train,11
id_000425,train,15
id_000616,valid,1
id_001028,test,2
id_001173,valid,2
id_000960,test,12
id_001145,train,0
id_000105,train,13
id_001214,train,1
id_000764,valid,9
id_000385,test,1
id_001126,train,7
id_000610,valid,9
id_001345,test,16
id_000137,valid,10
id_000746,train,9
id_000831,train,10
id_001335,valid,8
id_001267,test,13
id_000166,train,2
id_000898,train,1
id_000766,valid,9
id_000117,train,2
id_000020,train,0
id_000817,train,10
id_000255,train,3
id_001312,train,3
id_001199,test,7
id_001208,train,15
id_000376,valid,1
id_001288,train,16
id_000730,train,9
id_000048,valid,11
id_000477,test,16
id_000592,train,12
id_000565,train,7
id_001079,train,13
id_000405,train,6
id_000829,train,10
id_001120,test,12
id_000725,train,0
id_000645,train,8
id_001262,test,11
id_001144,train,14
id_001056,train,1
id_000007,train,9
id_000617,valid,2
id_000607,valid,6
id_000159,test,10
id_000546,test,2
id_000457,valid,1
id_000283,valid,2
id_001150,train,12
id_000697,valid,8
id_000595,train,10
id_001134,train,7
id_000108,train,9
id_001315,train,5
id_001125,train,14
id_000671,train,6
id_000632,test,2
id_001329,valid,16
id_000826,train,10
id_000504,train,6
id_000025,train,9
id_001320,train,4
id_000230,test,2
id_000097,train,10
id_000036,train,0
id_001326,valid,16
id_000278,train,11
id_000867,test,0
id_001342,test,2
id_000327,train,10
id_000783,test,14
id_001198,test,7
id_000269,train,3
id_001023,test,11
id_001229,train,10
id_000811,train,10
id_000309,test,3
id_000843,valid,10
id_000839,train,10
id_000706,test,2
id_000463,test,6
id_000009,train,9
id_000732,train,12
id_000938,valid,11
id_000308,test,3
id_000076,test,2
id_000040,train,11
id_000659,train,8
id_000665,train,8
id_000524,valid,12
